"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",1160.88,311,2004,"115","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",36.048,311,2004,"116","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",2250.816,311,2004,"117","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",14.64,311,2004,"118","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",178.32,311,2004,"119","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",83.328,311,2004,"120","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",234,311,2004,"121","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",105.072,311,2004,"122","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",94.992,311,2004,"123","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",2267.952,311,2004,"124","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Gros Ventre",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",137.4615,1256,2013,"125",NA,1950,43.51444444,-110.71166667,1950,1950,NA,1950,63
"Gros Ventre",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",158.247,1256,2013,"126",NA,1950,43.51444444,-110.71166667,1950,1950,NA,1950,63
"Lower Hoback",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",48.15,1246,2013,"127",NA,1950,43.29583333,-110.6575,1950,1950,NA,1950,63
"Lower Hoback",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",616.6845,1246,2013,"128",NA,1950,43.29583333,-110.6575,1950,1950,NA,1950,63
"NER",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",75.591,1261,2013,"129",NA,1950,43.51444444,-110.71166667,1950,1950,NA,1950,63
"NER",NA,NA,NA,"sagebrush","Peschel et al. 2015",NA,"PESC2015","AGBC_g_m2",2167.4115,1261,2013,"130",NA,1950,43.51444444,-110.71166667,1950,1950,NA,1950,63
